,sentence,entity A,entity B
0,"That they could feed on what the tutor called “ the sick and the wicked , ” while sparing the innocent .","('they', 677)","('innocent', 5694)"
1,Chuck then explains that Mike ’s speaking up actually did n’t protect us .,"('Chuck', 127)","('us', 4775)"
2,"“ They hated each other , ” said the nanny .","('They', 3079)","('other', 478)"
3,"“ They hated each other , ” said the nanny .","('nanny', 948)","('other', 478)"
4,"From the rim I could see my father and Jane on horseback , and a number of the slaves , including Toby , whose liberation once proposed by OGF had been denied for now by Plantation House .","('I', 0)","('father', 902)"
5,"They are facing each other , inches apart .","('They', 858)","('other', 358)"
6,"“ I guess I would n’t ground a twenty - two - year - old , ” I say .","('I', 0)","('old', 3310)"
7,"“ I guess I would n’t ground a twenty - two - year - old , ” I say .","('I', 0)","('old', 3310)"
8,"“ Ryger sent us to interview the prisoner , ” he said casually .","('Ryger', 231)","('us', 4775)"
9,"“ Ryger sent us to interview the prisoner , ” he said casually .","('Ryger', 231)","('prisoner', 4767)"
10,"“ Ryger sent us to interview the prisoner , ” he said casually .","('he', 217)","('us', 4775)"
11,I met a man driving a wagon and asked him how far it was to The Kingdom and what direction .,"('I', 0)","('him', 789)"
12,“ Do you want her in the truck ? ”,"('you', 154)","('her', 171)"
13,"You could have had a lovely holiday in Fairyland and never met the Marquess , never worried yourself with local politics , had a romp with a few brownies and gone home with enough memories for a lifetime ’s worth of novels .","('You', 170)","('Marquess', 2780)"
14,"I love you , my sweet sister — Russ My hands shook as I refolded the letter and placed it back in the envelope .","('I', 0)","('you', 141)"
15,"After seven hours , they arrived at a bivouac not unlike the one Amates would take me to on the mouth of the Faretsj River .","('Amates', 604)","('me', 0)"
16,He tackled me as I was walking up the hill .,"('He', 398)","('me', 0)"
17,— I thought it was you what are you doing on Victor Emilio Estrada ?,"('you', 5965)","('Estrada', 599)"
18,"It was wrong conceptually , he told her .","('he', 350)","('her', 372)"
19,I had even kept a browser opened to my Gmail account just so I ’d always be online and available to chat on Google Talk so they could see me .,"('they', 488)","('me', 0)"
20,"She apologized to the startled Johansson , who was busy rinsing an elderly woman ’s mouth , and asked if she could borrow the model of an old motorcycle from the bookcase behind him .","('She', 783)","('Johansson', 724)"
21,He called the creature Eve .,"('He', 112)","('Eve', 115)"
22,She had wanted to kiss him .,"('She', 291)","('him', 3484)"
23,"Though they call him Julian , he has three legacy names — the first for his father , the second for Cynthia ’s father , and finally for John ’s mother .","('they', 1799)","('him', 1800)"
24,"“ She covered him with leaves , ” Stocking said , “ and then took his gun , and left him with a heavy heart . ”","('She', 233)","('him', 1364)"
25,"“ She covered him with leaves , ” Stocking said , “ and then took his gun , and left him with a heavy heart . ”","('Stocking', 220)","('him', 1364)"
26,“ Not a secret that I want you — seems to go both ways .,"('I', 74)","('you', 0)"
27,"Zim is totally wrong to bull - rush Pedro , but you ca n’t throw an old man on the ground .","('Zim', 606)","('man', 3375)"
28,"Zim is totally wrong to bull - rush Pedro , but you ca n’t throw an old man on the ground .","('you', 3374)","('man', 3375)"
29,"T.J. flexed his fingers , as if he were having sympathetic pains from his father , Tyr , who ’d gotten his hand bitten off by Fenris Wolf .","('he', 224)","('father', 978)"
